,t1_win
gameId,0.009160863566328406
t1p1_assists,0.4643895443016436
t1p1_ban_champId,0.00428515112478481
t1p1_champId,-0.0014791178724651499
t1p1_champLevel,0.24502163008614883
t1p1_damageDealtToObjectives,0.3841135485627434
t1p1_damageDealtToTurrets,0.44238045833071304
t1p1_damageSelfMitigated,-0.044133434034586284
t1p1_deaths,-0.3988073481075063
t1p1_goldEarned,0.29202121649941953
t1p1_item0,0.0024276256665250033
t1p1_item1,0.014353717665374278
t1p1_item2,0.0060562998734672285
t1p1_item3,0.043106598712831866
t1p1_item4,0.0858701706674117
t1p1_item5,0.09878910423595966
t1p1_item6,0.025270517047988383
t1p1_kills,0.189097590827009
t1p1_lp,0.060443503954268944
t1p1_magicDamageDealt,0.08122578773190767
t1p1_magicDamageDealtToChampions,0.06508751538562908
t1p1_magicalDamageTaken,-0.13847426120191872
t1p1_min10_creeps,0.002461068509641389
t1p1_min10_damagetaken,-0.08780121959782006
t1p1_min10_gold,0.21220040158496406
t1p1_min10_xp,0.1556512342199144
t1p1_min15_creeps,-0.002144230564724798
t1p1_min15_damagetaken,-0.10813913665710376
t1p1_min15_gold,0.20051922922018733
t1p1_min15_xp,0.1445946050584028
t1p1_neutralMinionsKilled,0.04225816540033938
t1p1_perk0,-0.0007914443768344833
t1p1_perk1,0.016371985661226867
t1p1_perk2,0.020254630564210636
t1p1_perk3,0.011998745319276864
t1p1_perk4,-0.007577998251896199
t1p1_perk5,-0.006619647226739289
t1p1_perkPrimaryStyle,0.0119874693412999
t1p1_perkSubStyle,-0.014323461604287014
t1p1_physicalDamageDealt,0.06421486536685132
t1p1_physicalDamageDealtToChampions,0.04680645026926276
t1p1_physicalDamageTaken,-0.11327121278368776
t1p1_spellId1,0.0049950745302669
t1p1_spellId2,-0.004425923126778495
t1p1_timeCCingOthers,0.032667783710207676
t1p1_totalDamageDealt,0.11799466525667168
t1p1_totalDamageDealtToChampions,0.08916245494217803
t1p1_totalDamageTaken,-0.14152740191315974
t1p1_totalHeal,0.1282048148734949
t1p1_totalMinionsKilled,0.0030360191545398068
t1p1_totalTimeCrowdControlDealt,0.02707123958248387
t1p1_trueDamageDealt,0.03526948052653236
t1p1_trueDamageDealtToChampions,-0.004615888621922575
t1p1_trueDamageTaken,-0.06760771856156612
t1p1_visionScore,0.09023545212353434
t1p1_wardsKilled,0.03773815559533937
t1p1_wardsPlaced,0.032635370927404005
t1p2_assists,0.38981042900314433
t1p2_ban_champId,0.0021315902140429904
t1p2_champId,-0.01135510795551682
t1p2_champLevel,0.2212317989570338
t1p2_damageDealtToObjectives,0.47448571122807115
t1p2_damageDealtToTurrets,0.5343215474278307
t1p2_damageSelfMitigated,-0.013681282678589897
t1p2_deaths,-0.4125284779049178
t1p2_goldEarned,0.2742600013483632
t1p2_item0,0.032848911327149774
t1p2_item1,0.041774356254148326
t1p2_item2,0.04990539885211319
t1p2_item3,0.09443607562176497
t1p2_item4,0.10363558766295006
t1p2_item5,0.11357722966646176
t1p2_item6,0.026143284777664387
t1p2_kills,0.3565955342056768
t1p2_lp,0.056489932594481825
t1p2_magicDamageDealt,0.03628464626380709
t1p2_magicDamageDealtToChampions,0.04810010239349736
t1p2_magicalDamageTaken,-0.11697390355983393
t1p2_min10_creeps,0.14086713215732216
t1p2_min10_damagetaken,-0.07916554381632523
t1p2_min10_gold,0.2625692588063575
t1p2_min10_xp,0.20785482575173542
t1p2_min15_creeps,0.10474126228425985
t1p2_min15_damagetaken,-0.08296294253265468
t1p2_min15_gold,0.2237112055628805
t1p2_min15_xp,0.14935235428522922
t1p2_neutralMinionsKilled,0.20805734383220825
t1p2_perk0,-0.010216454530260738
t1p2_perk1,3.6307245084313544e-05
t1p2_perk2,0.0015088281729092696
t1p2_perk3,0.0037677823903310755
t1p2_perk4,-0.008011369748500443
t1p2_perk5,-0.004830529650288892
t1p2_perkPrimaryStyle,0.0030377821655641277
t1p2_perkSubStyle,0.0009451173465062419
t1p2_physicalDamageDealt,0.15641703674169458
t1p2_physicalDamageDealtToChampions,0.15899068153142254
t1p2_physicalDamageTaken,-0.08157934291204878
t1p2_spellId1,0.004987703453460025
t1p2_spellId2,0.002692697107489908
t1p2_timeCCingOthers,0.03957192816159137
t1p2_totalDamageDealt,0.17149949116119742
t1p2_totalDamageDealtToChampions,0.16651694544706902
t1p2_totalDamageTaken,-0.10939567960987702
t1p2_totalHeal,0.1116841570763684
t1p2_totalMinionsKilled,0.08714923818712962
t1p2_totalTimeCrowdControlDealt,0.04371897436626404
t1p2_trueDamageDealt,0.04925813184722845
t1p2_trueDamageDealtToChampions,0.05520021141784358
t1p2_trueDamageTaken,-0.027430191891670837
t1p2_visionScore,0.13061772604661345
t1p2_wardsKilled,0.07211238538382081
t1p2_wardsPlaced,0.06662783368947442
t1p3_assists,0.36478599885794993
t1p3_ban_champId,0.0074707833683830185
t1p3_champId,-0.010360645532380601
t1p3_champLevel,0.22495160593029206
t1p3_damageDealtToObjectives,0.36558887658681205
t1p3_damageDealtToTurrets,0.4168795958445957
t1p3_damageSelfMitigated,-0.006076131027209206
t1p3_deaths,-0.41717899580028733
t1p3_goldEarned,0.26320398836374165
t1p3_item0,0.045480318550459614
t1p3_item1,0.04975360861938465
t1p3_item2,0.0569934209604692
t1p3_item3,0.09019329772903034
t1p3_item4,0.10567997947589802
t1p3_item5,0.11136018257540063
t1p3_item6,0.029232544303547322
t1p3_kills,0.3438923394926615
t1p3_lp,0.05759195574355456
t1p3_magicDamageDealt,0.08275916518988141
t1p3_magicDamageDealtToChampions,0.10009734636626233
t1p3_magicalDamageTaken,-0.11988252034199773
t1p3_min10_creeps,0.10155548629143371
t1p3_min10_damagetaken,-0.07263504842933513
t1p3_min10_gold,0.2407649074570603
t1p3_min10_xp,0.1845491539856263
t1p3_min15_creeps,0.07616787830014148
t1p3_min15_damagetaken,-0.07677302019175682
t1p3_min15_gold,0.1987968266191204
t1p3_min15_xp,0.14282986338453263
t1p3_neutralMinionsKilled,0.17379803530807775
t1p3_perk0,0.0041411622806747355
t1p3_perk1,-0.004310738848606082
t1p3_perk2,-0.016379802622815923
t1p3_perk3,-0.0017262529144723123
t1p3_perk4,-0.0023885027289968956
t1p3_perk5,-0.006413604398362977
t1p3_perkPrimaryStyle,0.006996488944424434
t1p3_perkSubStyle,-0.0003326742430372649
t1p3_physicalDamageDealt,0.06250408410652498
t1p3_physicalDamageDealtToChampions,0.07555448718485856
t1p3_physicalDamageTaken,-0.05119217788026818
t1p3_spellId1,0.0032127753358393812
t1p3_spellId2,0.008114690875652059
t1p3_timeCCingOthers,0.03457580954736027
t1p3_totalDamageDealt,0.1518095766685178
t1p3_totalDamageDealtToChampions,0.16550377882920855
t1p3_totalDamageTaken,-0.08895453728954171
t1p3_totalHeal,0.1389885549747403
t1p3_totalMinionsKilled,0.07494263122206324
t1p3_totalTimeCrowdControlDealt,0.03272037520335359
t1p3_trueDamageDealt,0.03170489818091877
t1p3_trueDamageDealtToChampions,0.029758274480682703
t1p3_trueDamageTaken,-0.012078581850607902
t1p3_visionScore,0.1169057008605832
t1p3_wardsKilled,0.06209409104480407
t1p3_wardsPlaced,0.03374658884183459
t1p4_assists,0.3855022532802502
t1p4_ban_champId,-0.0026873054779248465
t1p4_champId,-0.023700086004932865
t1p4_champLevel,0.2853966858841663
t1p4_damageDealtToObjectives,0.5131979651134465
t1p4_damageDealtToTurrets,0.48252487558859347
t1p4_damageSelfMitigated,0.02386247715123023
t1p4_deaths,-0.46925788073624686
t1p4_goldEarned,0.29726807091797647
t1p4_item0,0.01908792512894282
t1p4_item1,0.028455591995224804
t1p4_item2,0.04687247620657736
t1p4_item3,0.10360835018109185
t1p4_item4,0.10496038323946011
t1p4_item5,0.10821274177515995
t1p4_item6,0.024554902631055406
t1p4_kills,0.3632136688309836
t1p4_lp,0.06446444449633695
t1p4_magicDamageDealt,0.08258982481005471
t1p4_magicDamageDealtToChampions,0.07292276086052332
t1p4_magicalDamageTaken,-0.11815334826174247
t1p4_min10_creeps,0.01725056698542493
t1p4_min10_damagetaken,-0.052355664540141636
t1p4_min10_gold,0.2726294408279048
t1p4_min10_xp,0.22687008520871627
t1p4_min15_creeps,0.015192760576078285
t1p4_min15_damagetaken,-0.045527425334289384
t1p4_min15_gold,0.22768633455162182
t1p4_min15_xp,0.19458975960183067
t1p4_neutralMinionsKilled,0.23558376058217217
t1p4_perk0,0.004406823890060946
t1p4_perk1,-0.0031273074218600583
t1p4_perk2,-0.00991760363218444
t1p4_perk3,-0.002653757553822666
t1p4_perk4,0.006074235002923879
t1p4_perk5,0.005632216661765184
t1p4_perkPrimaryStyle,0.00031548659763653636
t1p4_perkSubStyle,-0.003747014319511424
t1p4_physicalDamageDealt,0.10619282121029221
t1p4_physicalDamageDealtToChampions,0.10210208104377032
t1p4_physicalDamageTaken,0.014644013694882062
t1p4_spellId1,-0.000733137330352968
t1p4_spellId2,0.004643814299441583
t1p4_timeCCingOthers,0.01916745816242536
t1p4_totalDamageDealt,0.2202693542278935
t1p4_totalDamageDealtToChampions,0.15919034410074484
t1p4_totalDamageTaken,-0.042629918957204194
t1p4_totalHeal,0.1905361216976074
t1p4_totalMinionsKilled,0.035444078383630284
t1p4_totalTimeCrowdControlDealt,0.057070993665170565
t1p4_trueDamageDealt,0.05908395192962625
t1p4_trueDamageDealtToChampions,0.04462986984334644
t1p4_trueDamageTaken,-0.02021186118628596
t1p4_visionScore,0.12998286225496963
t1p4_wardsKilled,0.053921141130010834
t1p4_wardsPlaced,0.01939841169874936
t1p5_assists,0.34133189844377193
t1p5_ban_champId,0.0014283205506104909
t1p5_champId,-0.009012498510679416
t1p5_champLevel,0.22832732996720131
t1p5_damageDealtToObjectives,0.37015369533855935
t1p5_damageDealtToTurrets,0.4131469162225544
t1p5_damageSelfMitigated,0.009001635564060632
t1p5_deaths,-0.4043999229162319
t1p5_goldEarned,0.25819875002508
t1p5_item0,0.03873889745047708
t1p5_item1,0.04419493282015011
t1p5_item2,0.058284678997621166
t1p5_item3,0.08235885167481037
t1p5_item4,0.09076157877048038
t1p5_item5,0.089657214337686
t1p5_item6,0.028876890398748505
t1p5_kills,0.32406468012896184
t1p5_lp,0.05680346625023779
t1p5_magicDamageDealt,0.04165617234029086
t1p5_magicDamageDealtToChampions,0.04285909060863024
t1p5_magicalDamageTaken,-0.10538300859382681
t1p5_min10_creeps,0.10993737069808197
t1p5_min10_damagetaken,-0.04290478264480201
t1p5_min10_gold,0.22687958666668687
t1p5_min10_xp,0.1881784971760544
t1p5_min15_creeps,0.08411470032932587
t1p5_min15_damagetaken,-0.04708815236675128
t1p5_min15_gold,0.19161279104609633
t1p5_min15_xp,0.14520799652497046
t1p5_neutralMinionsKilled,0.15216887063602602
t1p5_perk0,-0.00048478935866536494
t1p5_perk1,0.004491405124173151
t1p5_perk2,0.0018542753557432483
t1p5_perk3,0.004917560815751931
t1p5_perk4,-0.0054181306436662515
t1p5_perk5,-0.006210794278267811
t1p5_perkPrimaryStyle,0.0032628751591178297
t1p5_perkSubStyle,-0.003979307242642585
t1p5_physicalDamageDealt,0.11047770238294877
t1p5_physicalDamageDealtToChampions,0.11674283696813226
t1p5_physicalDamageTaken,-0.020394461752896418
t1p5_spellId1,-0.004261941467830701
t1p5_spellId2,0.0030093811087840605
t1p5_timeCCingOthers,0.049089961413049346
t1p5_totalDamageDealt,0.15216186673559579
t1p5_totalDamageDealtToChampions,0.14950291504396113
t1p5_totalDamageTaken,-0.05822469214199396
t1p5_totalHeal,0.13751008836052048
t1p5_totalMinionsKilled,0.08713515855454909
t1p5_totalTimeCrowdControlDealt,0.04183689920344041
t1p5_trueDamageDealt,0.04961287402856415
t1p5_trueDamageDealtToChampions,0.06415064432561667
t1p5_trueDamageTaken,0.000502058357140617
t1p5_visionScore,0.10170225300782726
t1p5_wardsKilled,0.06300188687818366
t1p5_wardsPlaced,0.037589083566631494
t2p1_assists,-0.4664821161583381
t2p1_ban_champId,-0.006638758611904273
t2p1_champId,0.007641100502868795
t2p1_champLevel,-0.26424741265814955
t2p1_damageDealtToObjectives,-0.41086191687786044
t2p1_damageDealtToTurrets,-0.44882458406467646
t2p1_damageSelfMitigated,0.030684867524251976
t2p1_deaths,0.3921588879171395
t2p1_goldEarned,-0.3127098064315959
t2p1_item0,-0.004547678397969827
t2p1_item1,-0.019697358503097152
t2p1_item2,-0.007555488563122038
t2p1_item3,-0.04234527535546241
t2p1_item4,-0.0974358071023462
t2p1_item5,-0.10631991778631539
t2p1_item6,-0.02147832113374667
t2p1_kills,-0.1927777671546299
t2p1_lp,-0.060758833097552895
t2p1_magicDamageDealt,-0.09094335750798775
t2p1_magicDamageDealtToChampions,-0.07963422461939769
t2p1_magicalDamageTaken,0.1240429246661153
t2p1_min10_creeps,-0.002513249655804059
t2p1_min10_damagetaken,0.09543099336837406
t2p1_min10_gold,-0.20326046781268983
t2p1_min10_xp,-0.15922307322376472
t2p1_min15_creeps,-0.002850681422755463
t2p1_min15_damagetaken,0.10655791784512735
t2p1_min15_gold,-0.20777789691325863
t2p1_min15_xp,-0.15495652108768318
t2p1_neutralMinionsKilled,-0.05116991251113095
t2p1_perk0,-0.008307711092848473
t2p1_perk1,-0.012226701989881034
t2p1_perk2,-0.011873810052728641
t2p1_perk3,-0.01376435670950752
t2p1_perk4,0.0028874482258191376
t2p1_perk5,0.010015580383588555
t2p1_perkPrimaryStyle,-0.01474317445101606
t2p1_perkSubStyle,0.0029118450458701347
t2p1_physicalDamageDealt,-0.06677666955738307
t2p1_physicalDamageDealtToChampions,-0.04425200195468305
t2p1_physicalDamageTaken,0.1012602915941935
t2p1_spellId1,-0.0034728586655468126
t2p1_spellId2,0.003436414382514099
t2p1_timeCCingOthers,-0.04319959499279872
t2p1_totalDamageDealt,-0.1288354110817608
t2p1_totalDamageDealtToChampions,-0.10241140260460403
t2p1_totalDamageTaken,0.1262817631624047
t2p1_totalHeal,-0.13457420765922634
t2p1_totalMinionsKilled,-0.012524821674648799
t2p1_totalTimeCrowdControlDealt,-0.041796424979867436
t2p1_trueDamageDealt,-0.032563321749525094
t2p1_trueDamageDealtToChampions,-0.005690215384839232
t2p1_trueDamageTaken,0.05791063021067916
t2p1_visionScore,-0.11562180050057987
t2p1_wardsKilled,-0.06607313885382504
t2p1_wardsPlaced,-0.05380343534868839
t2p2_assists,-0.3871829086845366
t2p2_ban_champId,-0.001430543215023813
t2p2_champId,0.008674168114647288
t2p2_champLevel,-0.2450395493651723
t2p2_damageDealtToObjectives,-0.49713094105485617
t2p2_damageDealtToTurrets,-0.5424762217825089
t2p2_damageSelfMitigated,-0.006269667538521997
t2p2_deaths,0.41235147174217696
t2p2_goldEarned,-0.2941711964979025
t2p2_item0,-0.0365972903750195
t2p2_item1,-0.044800878232066396
t2p2_item2,-0.06269260089914547
t2p2_item3,-0.10082719642744058
t2p2_item4,-0.12356129387062414
t2p2_item5,-0.12515058205721108
t2p2_item6,-0.03413869245793739
t2p2_kills,-0.361751282314017
t2p2_lp,-0.060228274425800886
t2p2_magicDamageDealt,-0.04483944556464454
t2p2_magicDamageDealtToChampions,-0.05736103796211537
t2p2_magicalDamageTaken,0.09947268469666751
t2p2_min10_creeps,-0.14698023494269177
t2p2_min10_damagetaken,0.08609184855072334
t2p2_min10_gold,-0.2589781593415182
t2p2_min10_xp,-0.20804746596086163
t2p2_min15_creeps,-0.11891122482920806
t2p2_min15_damagetaken,0.08126174168128546
t2p2_min15_gold,-0.23310147039657997
t2p2_min15_xp,-0.1647556740380149
t2p2_neutralMinionsKilled,-0.23074662663645004
t2p2_perk0,0.0026656289471494042
t2p2_perk1,0.007033634801910358
t2p2_perk2,0.0033125318031359103
t2p2_perk3,-0.0009248783765715202
t2p2_perk4,-0.0024315940642428016
t2p2_perk5,0.00038538723626964025
t2p2_perkPrimaryStyle,-0.0025478483479404648
t2p2_perkSubStyle,-0.004913477994887994
t2p2_physicalDamageDealt,-0.1751021073223056
t2p2_physicalDamageDealtToChampions,-0.16420404454865922
t2p2_physicalDamageTaken,0.07022791233078428
t2p2_spellId1,-0.0070982969566589955
t2p2_spellId2,-0.009128338785250196
t2p2_timeCCingOthers,-0.043078754098220054
t2p2_totalDamageDealt,-0.19465576053581554
t2p2_totalDamageDealtToChampions,-0.1769342687407099
t2p2_totalDamageTaken,0.09366977883045347
t2p2_totalHeal,-0.12136955095851742
t2p2_totalMinionsKilled,-0.10891309601170773
t2p2_totalTimeCrowdControlDealt,-0.057530519853461304
t2p2_trueDamageDealt,-0.0620124097896426
t2p2_trueDamageDealtToChampions,-0.06748640494754542
t2p2_trueDamageTaken,0.027336653661003612
t2p2_visionScore,-0.1541617010785334
t2p2_wardsKilled,-0.09409990896616682
t2p2_wardsPlaced,-0.08543749477486169
t2p3_assists,-0.37663170437173327
t2p3_ban_champId,0.003499393074422179
t2p3_champId,0.015710996893878698
t2p3_champLevel,-0.2507303067372608
t2p3_damageDealtToObjectives,-0.3929268034087278
t2p3_damageDealtToTurrets,-0.4219909287193387
t2p3_damageSelfMitigated,-0.005984042445163135
t2p3_deaths,0.4093191208740015
t2p3_goldEarned,-0.28981858842790775
t2p3_item0,-0.060787001555719186
t2p3_item1,-0.04701832165858417
t2p3_item2,-0.06036331044680305
t2p3_item3,-0.09527334298283191
t2p3_item4,-0.12371701060679832
t2p3_item5,-0.12374134911382022
t2p3_item6,-0.02767479673543744
t2p3_kills,-0.3557213404301355
t2p3_lp,-0.060772667520679474
t2p3_magicDamageDealt,-0.08945920488299387
t2p3_magicDamageDealtToChampions,-0.1018446192366824
t2p3_magicalDamageTaken,0.10299696453436992
t2p3_min10_creeps,-0.10328788405347998
t2p3_min10_damagetaken,0.06877884384445593
t2p3_min10_gold,-0.24864099767759934
t2p3_min10_xp,-0.18536705742051407
t2p3_min15_creeps,-0.09147346514016837
t2p3_min15_damagetaken,0.06666874547824526
t2p3_min15_gold,-0.2179573616954355
t2p3_min15_xp,-0.15928561422970594
t2p3_neutralMinionsKilled,-0.19736776300016975
t2p3_perk0,-0.0007515532661979035
t2p3_perk1,0.006715734061843825
t2p3_perk2,0.01570842792752585
t2p3_perk3,0.004048537744091122
t2p3_perk4,-0.00934659287255819
t2p3_perk5,0.004810317605374603
t2p3_perkPrimaryStyle,-0.0051287034415403035
t2p3_perkSubStyle,0.007350570138076096
t2p3_physicalDamageDealt,-0.0803163703005342
t2p3_physicalDamageDealtToChampions,-0.09269930610464092
t2p3_physicalDamageTaken,0.03640587120554599
t2p3_spellId1,-0.009475898482840561
t2p3_spellId2,-0.009379869874324952
t2p3_timeCCingOthers,-0.05018393475229135
t2p3_totalDamageDealt,-0.17742180656143208
t2p3_totalDamageDealtToChampions,-0.18245978759172723
t2p3_totalDamageTaken,0.07071828055698973
t2p3_totalHeal,-0.14849328667192374
t2p3_totalMinionsKilled,-0.09881351964906326
t2p3_totalTimeCrowdControlDealt,-0.046615668225055626
t2p3_trueDamageDealt,-0.03808088197170745
t2p3_trueDamageDealtToChampions,-0.04086986048458539
t2p3_trueDamageTaken,0.004629724687729908
t2p3_visionScore,-0.14163245156589926
t2p3_wardsKilled,-0.08864575375590165
t2p3_wardsPlaced,-0.048719877626759285
t2p4_assists,-0.39572420538533826
t2p4_ban_champId,-0.001830242783503386
t2p4_champId,0.024303140676102696
t2p4_champLevel,-0.3092840142074145
t2p4_damageDealtToObjectives,-0.5374021255351076
t2p4_damageDealtToTurrets,-0.48326482251976394
t2p4_damageSelfMitigated,-0.041155536962920784
t2p4_deaths,0.4591633680572519
t2p4_goldEarned,-0.3182644266073603
t2p4_item0,-0.027644867338574408
t2p4_item1,-0.03949693583263599
t2p4_item2,-0.053021570171191315
t2p4_item3,-0.10487281308626512
t2p4_item4,-0.1146130449659649
t2p4_item5,-0.1229763845367212
t2p4_item6,-0.026756332166922886
t2p4_kills,-0.3653565565278418
t2p4_lp,-0.0590300262480903
t2p4_magicDamageDealt,-0.10001525128109141
t2p4_magicDamageDealtToChampions,-0.08814426749989086
t2p4_magicalDamageTaken,0.09835544352180214
t2p4_min10_creeps,-0.02351609893363484
t2p4_min10_damagetaken,0.05748821635130437
t2p4_min10_gold,-0.27070318543669103
t2p4_min10_xp,-0.22864258839625612
t2p4_min15_creeps,-0.02357280609023367
t2p4_min15_damagetaken,0.03544078737334773
t2p4_min15_gold,-0.23874311742987517
t2p4_min15_xp,-0.21128796638593936
t2p4_neutralMinionsKilled,-0.26410602696305474
t2p4_perk0,-0.005041704558032656
t2p4_perk1,0.013087799370626286
t2p4_perk2,0.019957743704485467
t2p4_perk3,0.008550650576890728
t2p4_perk4,-0.007741134515131569
t2p4_perk5,-0.009187521456310358
t2p4_perkPrimaryStyle,-0.008085116841690436
t2p4_perkSubStyle,0.004022262137346278
t2p4_physicalDamageDealt,-0.11143883481606348
t2p4_physicalDamageDealtToChampions,-0.10245937122892969
t2p4_physicalDamageTaken,-0.03152558458814491
t2p4_spellId1,-0.0013906017186715368
t2p4_spellId2,0.0008435780584752625
t2p4_timeCCingOthers,-0.02793758634915546
t2p4_totalDamageDealt,-0.2482047882551979
t2p4_totalDamageDealtToChampions,-0.17445290568710362
t2p4_totalDamageTaken,0.022487704910104413
t2p4_totalHeal,-0.2053373560807327
t2p4_totalMinionsKilled,-0.047135879193219814
t2p4_totalTimeCrowdControlDealt,-0.057346425968631216
t2p4_trueDamageDealt,-0.07233721327383125
t2p4_trueDamageDealtToChampions,-0.04935355967910129
t2p4_trueDamageTaken,0.01157368294014409
t2p4_visionScore,-0.14968866930810212
t2p4_wardsKilled,-0.07211214436005563
t2p4_wardsPlaced,-0.033091562426314204
t2p5_assists,-0.34414577279279657
t2p5_ban_champId,0.0009133159662853038
t2p5_champId,0.009709150048886107
t2p5_champLevel,-0.2489644306127242
t2p5_damageDealtToObjectives,-0.3905867531688527
t2p5_damageDealtToTurrets,-0.4153854503048509
t2p5_damageSelfMitigated,-0.02207340096806658
t2p5_deaths,0.39077197365365807
t2p5_goldEarned,-0.27858810620216556
t2p5_item0,-0.054978037700808786
t2p5_item1,-0.05448812484160734
t2p5_item2,-0.04959009461463437
t2p5_item3,-0.0807624521868531
t2p5_item4,-0.1006326167513095
t2p5_item5,-0.09694719953776819
t2p5_item6,-0.026777176997903093
t2p5_kills,-0.33121122622301097
t2p5_lp,-0.05992510476617403
t2p5_magicDamageDealt,-0.04994403636195477
t2p5_magicDamageDealtToChampions,-0.05126366885023566
t2p5_magicalDamageTaken,0.09030405447677776
t2p5_min10_creeps,-0.11536222371519833
t2p5_min10_damagetaken,0.057352643775979824
t2p5_min10_gold,-0.22692002717511656
t2p5_min10_xp,-0.19645013474177034
t2p5_min15_creeps,-0.09939101686955035
t2p5_min15_damagetaken,0.04877798788391355
t2p5_min15_gold,-0.20192634245265462
t2p5_min15_xp,-0.16048649638231416
t2p5_neutralMinionsKilled,-0.16472426360061285
t2p5_perk0,-0.008151537467421139
t2p5_perk1,0.0036774654135157923
t2p5_perk2,0.010442319382614923
t2p5_perk3,-0.011294642102014972
t2p5_perk4,0.01293795360254149
t2p5_perk5,0.015335776669257261
t2p5_perkPrimaryStyle,-0.009591947221101087
t2p5_perkSubStyle,0.001713378602636463
t2p5_physicalDamageDealt,-0.12315014844034321
t2p5_physicalDamageDealtToChampions,-0.12492666573927855
t2p5_physicalDamageTaken,0.007878950179409532
t2p5_spellId1,0.0022281053220785047
t2p5_spellId2,-0.004519787748466723
t2p5_timeCCingOthers,-0.05163554923999993
t2p5_totalDamageDealt,-0.17267319707285883
t2p5_totalDamageDealtToChampions,-0.16358977700384755
t2p5_totalDamageTaken,0.04210736843459752
t2p5_totalHeal,-0.1521598643973166
t2p5_totalMinionsKilled,-0.10852398075354923
t2p5_totalTimeCrowdControlDealt,-0.03888629147510609
t2p5_trueDamageDealt,-0.060617304705704235
t2p5_trueDamageDealtToChampions,-0.0692319357419051
t2p5_trueDamageTaken,-0.012446962413588903
t2p5_visionScore,-0.1167647708011088
t2p5_wardsKilled,-0.07897010855104136
t2p5_wardsPlaced,-0.05532755535514532
gameCreation,-0.001171803960180889
gameDuration,-0.014800772201294431
queueId,
average_lp,-0.0018539682101098632
t1_teamId,
t1_win,1.0000000000000009
t1p1_min10_gold_fixed,0.2122004015849641
t1p1_min15_gold_fixed,0.20051922922018733
t1p2_min10_gold_fixed,0.2625692588063575
t1p2_min15_gold_fixed,0.22371120556288066
t1p3_min10_gold_fixed,0.24076490745706025
t1p3_min15_gold_fixed,0.1987968266191204
t1p4_min10_gold_fixed,0.2726294408279046
t1p4_min15_gold_fixed,0.22768633455162185
t1p5_min10_gold_fixed,0.22687958666668692
t1p5_min15_gold_fixed,0.19161279104609608
t2p1_min10_gold_fixed,-0.2032604678126899
t2p1_min15_gold_fixed,-0.20777789691325876
t2p2_min10_gold_fixed,-0.25897815934151824
t2p2_min15_gold_fixed,-0.23310147039658
t2p3_min10_gold_fixed,-0.24864099767759937
t2p3_min15_gold_fixed,-0.21795736169543545
t2p4_min10_gold_fixed,-0.2707031854366911
t2p4_min15_gold_fixed,-0.2387431174298751
t2p5_min10_gold_fixed,-0.22692002717511658
t2p5_min15_gold_fixed,-0.20192634245265462
t1_min10_gold_advantage,0.525192624073351
t1_min15_gold_advantage,0.6624668006418334
